"THE_COUNTY","year","month","total_prcp","tmax","tmin"
"SANTA CRUZ",2012,7,0,24.5638945439502,11.6921444564353
"SANTA CRUZ",2012,8,0,26.4399687361015,12.1161215491878
"SANTA CRUZ",2012,9,0,25.363953160761,11.094158493051
"SANTA CRUZ",2012,10,34.8116559074053,24.0342356545008,10.3264018408633
"SANTA CRUZ",2012,11,227.275378047004,19.6548288082726,7.75446593185622
"SANTA CRUZ",2012,12,328.472402637263,13.9322065062372,4.93683747455685
"SANTA CRUZ",2013,1,25.1941964157592,15.9533129016143,2.82404423185874
"SANTA CRUZ",2013,2,14.0872543306579,17.0725182932302,2.93346276007112
"SANTA CRUZ",2013,3,51.8376502184781,19.9182294902591,6.16711820106853
"SANTA CRUZ",2013,4,17.9019990708725,22.3651856159285,7.53737805107113
"SANTA CRUZ",2013,5,0.441056404998409,23.8319306651784,8.83688357724294
"SANTA CRUZ",2013,6,3.66637099599618,25.3291345721711,11.1750530164507
"SANTA CRUZ",2013,7,0.0942052349481941,25.3847254016927,12.7216914517217
"SANTA CRUZ",2013,8,0,26.5005644257925,12.4204533818347
"SANTA CRUZ",2013,9,12.059227053125,26.6428340046692,11.3968359090077
"SANTA CRUZ",2013,10,3.77484653471679,23.3937652461341,7.887429732797
"SANTA CRUZ",2013,11,23.0704288780244,20.3748110767766,6.13676931006188
"SANTA CRUZ",2013,12,12.780148640497,17.9118791357242,2.14351712585477
"SANTA CRUZ",2014,1,1.84807853115341,21.1021480011978,5.34163315855225
"SANTA CRUZ",2014,2,243.852080675471,17.0158312995712,6.26964620691986
"SANTA CRUZ",2014,3,93.5764445411553,20.4538321668993,7.26851898450849
"SANTA CRUZ",2014,4,34.0156398050276,21.8297091077521,7.28396326195417
"SANTA CRUZ",2014,5,0.0562915448042906,25.0795072364205,9.2404110159284
"SANTA CRUZ",2014,6,0.0240791508674685,25.2159361454945,10.5548827906751
"SANTA CRUZ",2014,7,1.78205154456923,26.84208589708,13.6355446273571
"SANTA CRUZ",2014,8,0.0270088885434781,26.3867900559852,13.3871899048684
"SANTA CRUZ",2014,9,22.7489571447022,26.2907651408717,12.7146118379999
"SANTA CRUZ",2014,10,36.6375249213453,26.5057892921546,11.0068811592429
"SANTA CRUZ",2014,11,105.962354120076,20.230855762911,7.99943049583126
"SANTA CRUZ",2014,12,370.623646660184,15.7706188846582,7.95744717347762
"SANTA CRUZ",2015,1,0,20.0521136597313,5.65613982905918
"SANTA CRUZ",2015,2,105.591755075051,20.4618315892829,7.52262613046768
"SANTA CRUZ",2015,3,12.5906004118964,23.3469607279649,6.96323764062869
"SANTA CRUZ",2015,4,58.6796085648118,21.4287368554871,6.38515569124827
"SANTA CRUZ",2015,5,4.57802002156934,19.7014508163097,8.6263951087265
"SANTA CRUZ",2015,6,1.04541766167439,25.6533375854816,11.4005095180912
"SANTA CRUZ",2015,7,0.188945215628689,26.7190195536943,13.5574123172621
"SANTA CRUZ",2015,8,0.699246043867254,28.324263031462,12.9665561333481
"SANTA CRUZ",2015,9,1.18377046042998,29.0105036499006,12.701852481491
"SANTA CRUZ",2015,10,3.18612086280841,26.8834472913502,11.416192021419
"SANTA CRUZ",2015,11,95.605405209382,18.2476205179871,5.01484483916256
"SANTA CRUZ",2015,12,192.284808086631,14.4314980448995,3.66160972829519
"SHASTA",1992,1,75.0367433466501,10.4308368669363,-0.545300407520891
"SHASTA",1992,2,272.530062887403,12.9630172796633,3.07539244211477
"SHASTA",1992,3,114.767516840486,15.7200075618715,3.595619381283
"SHASTA",1992,4,82.4946554491737,19.7975885268749,5.96745750834253
"SHASTA",1992,5,6.031999532055,28.7901064004483,10.5966456983919
"SHASTA",1992,6,58.5697909982906,28.0505806032499,12.0710108308396
"SHASTA",1992,7,0.262654115509363,31.2702488688383,13.72452463863
"SHASTA",1992,8,0,33.9687586434858,14.0971273079801
"SHASTA",1992,9,0,29.7075211044568,10.5429486933829
"SHASTA",1992,10,137.391225670129,23.6368501321467,7.5376282687119
"SHASTA",1992,11,35.9886959274282,14.158969447403,1.82077891258316
"SHASTA",1992,12,248.496751660224,7.24737806291325,-1.90616116178086
"SHASTA",1993,1,315.15296613846,7.17297513207408,-2.2590907351664
"SHASTA",1993,2,193.567502748003,8.88302400845142,-0.533338537193869
"SHASTA",1993,3,195.761421365583,15.2145206416048,4.40008030991421
"SHASTA",1993,4,113.398526367024,16.7236690125672,4.51199126970255
"SHASTA",1993,5,123.968460002427,20.9575867779069,7.67491730005881
"SHASTA",1993,6,47.3815937419721,25.6734505920853,10.1420991461559
"SHASTA",1993,7,0,29.8310396928498,12.4519708287261
"SHASTA",1993,8,12.1359326757136,30.7462419656927,12.3019826060894
"SHASTA",1993,9,0.587617598060215,29.9953180552582,9.81321707866737
"SHASTA",1993,10,85.3284503874761,22.1284318193537,7.49698441003392
"SHASTA",1993,11,50.5619009317703,14.619093039595,-0.0871252194787226
"SHASTA",1993,12,157.581207056016,9.70830794745466,-0.699253250006234
"SHASTA",1994,1,90.4736191801714,11.4806440351094,0.019685167528218
"SHASTA",1994,2,158.998778630791,9.45212909062485,-1.56874597753427
"SHASTA",1994,3,30.1985590569175,16.8542914054382,1.765646875863
"SHASTA",1994,4,61.2248456289968,18.6061904152924,3.6613924583252
"SHASTA",1994,5,73.3334209003384,22.9432507507247,8.29338434698924
"SHASTA",1994,6,8.08442160693323,27.5298387243342,9.34697891077295
"SHASTA",1994,7,0,34.481480331081,14.2763201997808
"SHASTA",1994,8,0,32.3491824675391,11.1501076801481
"SHASTA",1994,9,7.06261070102063,29.2645527729905,9.78951373083972
"SHASTA",1994,10,2.44963644216678,21.0778693798416,4.22490106213581
"SHASTA",1994,11,158.874834392039,7.95457277865523,-2.09536745353869
"SHASTA",1994,12,136.547349180008,6.83757719592624,-1.42314284540965
"SHASTA",1995,1,626.486194123949,8.02138017648503,2.42597242592636
"SHASTA",1995,2,51.5155995936796,16.1406973280726,2.46880091415229
"SHASTA",1995,3,478.920631449235,12.2690369655145,2.04335261163907
"SHASTA",1995,4,213.986841779696,16.4375984493449,3.67574488379878
"SHASTA",1995,5,60.9716417242699,21.1961949176113,7.69686448679236
"SHASTA",1995,6,73.9483835717425,25.4241164247606,10.5139509630195
"SHASTA",1995,7,0.520581060778374,30.7056799836227,13.8114164569659
